DateTime ,jck_mm ,jck_mx ,jck_mn ,jck_sp ,jck_pp,Notes
2023-05-05,39.22,50.1,31.3,3.15,0.16,
2023-05-06,35.77,47.3,25.9,2.69,0.01,
2023-05-07,36.37,48.5,30.1,1.99,0.02,
2023-05-08,38.65,51.5,29.6,0.94,0.18,
2023-05-09,39.95,52.2,31.4,-0.32,0,
2023-05-10,39.69,56.4,27.2,-0.34,0.02,
2023-05-11,42.93,55.6,32.1,-0.37,0,
2023-05-12,44.21,58.9,29.3,-0.36,0,
2023-05-13,45.04,58.4,31.5,-0.38,0,
2023-05-14,47.92,61.7,32.7,-0.38,0,
2023-05-15,50.32,63.7,38.7,-0.38,0,
2023-05-16,48.94,64.2,36.3,-0.36,0,
2023-05-17,45.09,60.4,34.4,-0.42,0.04,
2023-05-18,47.13,64.6,32,-0.39,0,
2023-05-19,49.82,68.6,30.2,-0.31,0,
2023-05-20,51.88,71.6,31.7,-0.48,0,
2023-05-21,54.26,72.1,34.7,-0.53,0,
2023-05-22,53.53,68.2,37.4,-0.47,0.01,
2023-05-23,50.58,69.1,38.9,-0.33,0.16,
